dateutc;pm25;pm10;pm25f;pm25f24
2020-03-05+14:00:00;8.6;12.1;18.0;24.4
2020-03-05+15:00:00;6.8;14.0;21.0;22.8
2020-03-05+16:00:00;5.4;21.1;22.0;21.5
2020-03-05+17:00:00;6.1;10.9;16.0;21.2
2020-03-05+18:00:00;5.2;12.6;18.0;20.0
2020-03-05+19:00:00;6.0;9.5;26.0;20.5
2020-03-05+20:00:00;10.0;14.7;29.0;21.8
2020-03-05+21:00:00;13.3;22.3;39.0;22.9
2020-03-05+22:00:00;20.3;32.9;NA;NA
2020-03-05+23:00:00;NA;NA;48.0;29.0
2020-03-06+00:00:00;28.4;40.0;40.0;31.7
2020-03-06+01:00:00;22.6;40.5;41.0;34.2
2020-03-06+02:00:00;18.4;26.7;39.0;36.9
2020-03-06+03:00:00;12.8;23.2;41.0;39.2
2020-03-06+04:00:00;21.7;33.2;41.0;40.4
2020-03-06+05:00:00;18.2;27.8;38.0;41.2
2020-03-06+06:00:00;10.4;13.4;34.0;40.7
2020-03-06+07:00:00;12.7;19.8;41.0;39.6
2020-03-06+08:00:00;14.5;26.4;33.0;39.2
2020-03-06+09:00:00;17.7;26.3;27.0;37.6
2020-03-06+10:00:00;9.6;18.6;25.0;35.8
2020-03-06+11:00:00;10.7;27.1;26.0;34.0
2020-03-06+12:00:00;9.1;19.5;25.0;32.0
2020-03-06+13:00:00;6.6;8.7;25.0;30.0
2020-03-06+14:00:00;7.4;10.5;27.0;28.8
2020-03-06+15:00:00;12.5;19.0;27.0;27.9
2020-03-06+16:00:00;14.5;19.7;35.0;27.1
2020-03-06+17:00:00;24.7;29.5;40.0;27.7
2020-03-06+18:00:00;18.9;24.6;41.0;29.6
2020-03-06+19:00:00;19.9;32.5;NA;NA
2020-03-06+20:00:00;11.4;22.1;NA;NA
2020-03-06+21:00:00;17.5;21.3;NA;NA
2020-03-06+22:00:00;16.9;22.5;NA;NA
2020-03-06+23:00:00;18.7;26.3;NA;NA
2020-03-07+00:00:00;13.5;15.0;NA;NA
2020-03-07+01:00:00;18.7;28.2;31.0;35.2
2020-03-07+02:00:00;19.5;24.0;39.0;34.5
2020-03-07+03:00:00;14.4;18.3;37.0;34.6
2020-03-07+04:00:00;16.9;24.6;37.0;35.2
2020-03-07+05:00:00;17.5;24.3;35.0;35.6
2020-03-07+06:00:00;16.9;32.9;43.0;36.5
2020-03-07+07:00:00;20.2;27.3;50.0;37.3
2020-03-07+08:00:00;23.0;42.1;57.0;39.2
2020-03-07+09:00:00;39.0;73.4;61.0;43.5
2020-03-07+10:00:00;25.6;44.6;61.0;46.6
2020-03-07+11:00:00;31.5;55.3;49.0;49.5
2020-03-07+12:00:00;35.9;52.7;75.0;52.9
2020-03-07+13:00:00;39.6;69.7;70.0;56.5
2020-03-07+14:00:00;34.9;56.4;69.0;59.3
2020-03-07+15:00:00;37.9;59.9;77.0;62.7
2020-03-07+16:00:00;33.0;59.3;52.0;65.1
2020-03-07+17:00:00;33.4;61.4;34.0;62.5
2020-03-07+18:00:00;17.0;34.1;20.0;58.0
2020-03-07+19:00:00;10.3;18.0;17.0;53.1
2020-03-07+20:00:00;2.3;2.5;17.0;48.0
2020-03-07+21:00:00;4.2;4.9;14.0;43.1
2020-03-07+22:00:00;6.2;12.1;17.0;37.8
2020-03-07+23:00:00;2.9;3.2;15.0;30.9
2020-03-08+00:00:00;3.7;5.7;15.0;23.8
