dateutc;tempinf;humidityin;baromrelin;baromabsin;tempf;humidity;winddir;windspeedmph;windgustmph;maxdailygust;solarradiation;uv;rainratein;eventrainin;hourlyrainin;dailyrainin;weeklyrainin;monthlyrainin;yearlyrainin;totalrainin;temp1f;humidity1;pm25_ch1;pm25_avg_24h_ch1;wh65batt;batt1;pm25batt1;freq;model
2020-06-05+13:00:43;71.1;62;29.241;29.241;58.8;94;103;0.00;0.00;10.29;121.36;1;0.047;0.571;0.071;0.571;0.669;0.669;6.260;6.260;NA;NA;12.0;13.7;0;NA;5;868M;GW1000_Pro
2020-06-05+13:14:58;70.5;62;29.246;29.246;59.2;94;103;0.00;0.00;10.29;135.67;1;0.071;0.583;0.063;0.583;0.681;0.681;6.272;6.272;NA;NA;15.0;13.8;0;NA;5;868M;GW1000_Pro
2020-06-05+13:30:12;70.5;62;29.252;29.252;59.4;93;103;0.22;1.12;10.29;107.53;1;0.047;0.591;0.051;0.591;0.689;0.689;6.280;6.280;NA;NA;12.0;13.9;0;NA;5;868M;GW1000_Pro
2020-06-05+13:45:27;70.5;62;29.249;29.249;58.3;93;234;3.36;8.05;10.29;36.82;0;0.236;0.630;0.067;0.630;0.728;0.728;6.319;6.319;NA;NA;14.0;14.0;0;NA;5;868M;GW1000_Pro
2020-06-05+14:00:42;70.3;62;29.246;29.246;57.6;94;294;0.22;2.24;10.29;64.59;0;0.165;0.669;0.098;0.669;0.768;0.768;6.358;6.358;NA;NA;11.0;14.1;0;NA;5;868M;GW1000_Pro
2020-06-05+14:15:57;70.3;62;29.261;29.261;56.7;94;209;3.13;3.36;10.29;27.28;0;0.071;0.693;0.110;0.693;0.791;0.791;6.382;6.382;NA;NA;12.0;14.1;0;NA;5;868M;GW1000_Pro
2020-06-05+14:30:11;70.3;62;29.267;29.267;55.9;94;208;3.80;5.82;11.41;69.36;0;0.118;0.720;0.130;0.720;0.819;0.819;6.409;6.409;NA;NA;8.0;14.0;0;NA;5;868M;GW1000_Pro
2020-06-05+14:45:26;70.3;62;29.279;29.279;55.9;94;190;2.01;5.82;11.41;43.80;0;0.118;0.752;0.110;0.752;0.850;0.850;6.441;6.441;NA;NA;6.0;14.0;0;NA;5;868M;GW1000_Pro
2020-06-05+15:00:41;70.2;61;29.276;29.276;55.4;94;269;2.24;8.05;11.41;42.45;0;0.118;0.780;0.098;0.780;0.878;0.878;6.469;6.469;NA;NA;5.0;13.9;0;NA;5;868M;GW1000_Pro
2020-06-05+15:15:56;70.2;61;29.291;29.291;54.9;94;246;3.13;8.05;11.41;71.93;0;0.047;0.799;0.098;0.799;0.898;0.898;6.488;6.488;NA;NA;7.0;13.8;0;NA;5;868M;GW1000_Pro
2020-06-05+15:30:10;70.2;61;29.291;29.291;54.0;94;255;4.92;6.93;12.53;51.99;0;0.071;0.823;0.091;0.823;0.921;0.921;6.512;6.512;NA;NA;7.0;13.7;0;NA;5;868M;GW1000_Pro
2020-06-05+15:45:25;70.3;60;29.285;29.285;53.2;94;214;3.36;5.82;12.53;35.97;0;0.071;0.843;0.091;0.843;0.941;0.941;6.531;6.531;NA;NA;10.0;13.6;0;NA;5;868M;GW1000_Pro
2020-06-05+16:00:40;70.2;60;29.297;29.297;52.9;94;204;2.24;6.93;12.53;24.71;0;0.118;0.870;0.091;0.870;0.969;0.969;6.559;6.559;NA;NA;6.0;13.4;0;NA;5;868M;GW1000_Pro
2020-06-05+16:15:55;70.2;60;29.291;29.291;52.9;94;214;2.91;6.93;12.53;35.97;0;0.071;0.882;0.071;0.882;0.980;0.980;6.571;6.571;NA;NA;7.0;13.3;0;NA;5;868M;GW1000_Pro
2020-06-05+16:30:09;70.2;60;29.291;29.291;52.9;94;253;2.24;3.36;12.53;19.08;0;0.047;0.890;0.059;0.890;0.988;0.988;6.579;6.579;NA;NA;6.0;13.2;0;NA;5;868M;GW1000_Pro
2020-06-05+16:45:24;70.3;60;29.294;29.294;52.9;94;210;0.89;2.24;12.53;46.36;0;0.071;0.902;0.051;0.902;1.000;1.000;6.591;6.591;NA;NA;7.0;13.1;0;NA;5;868M;GW1000_Pro
2020-06-05+17:00:39;70.3;61;29.282;29.282;53.1;94;205;0.22;1.12;12.53;63.73;0;0.000;0.909;0.039;0.909;1.008;1.008;6.598;6.598;NA;NA;8.0;12.9;0;NA;5;868M;GW1000_Pro
2020-06-05+17:15:54;70.3;60;29.279;29.279;52.3;94;280;0.45;1.12;12.53;61.17;0;0.000;0.909;0.028;0.909;1.008;1.008;6.598;6.598;NA;NA;9.0;12.8;0;NA;5;868M;GW1000_Pro
2020-06-05+17:30:08;70.2;59;29.276;29.276;52.7;94;258;0.00;1.12;12.53;38.17;0;0.071;0.921;0.031;0.921;1.020;1.020;6.610;6.610;NA;NA;6.0;12.5;0;NA;5;868M;GW1000_Pro
2020-06-05+17:45:23;70.0;59;29.285;29.285;52.9;95;250;0.89;1.12;12.53;31.56;0;0.000;0.921;0.020;0.921;1.020;1.020;6.610;6.610;NA;NA;7.0;12.2;0;NA;5;868M;GW1000_Pro
2020-06-05+18:00:38;69.8;59;29.288;29.288;52.5;95;194;0.00;1.12;12.53;38.17;0;0.000;0.921;0.012;0.921;1.020;1.020;6.610;6.610;NA;NA;6.0;11.9;0;NA;5;868M;GW1000_Pro
2020-06-05+18:15:53;70.0;59;29.297;29.297;52.7;95;181;0.00;1.12;12.53;26.79;0;0.000;0.921;0.012;0.921;1.020;1.020;6.610;6.610;NA;NA;6.0;11.6;0;NA;5;868M;GW1000_Pro
2020-06-05+18:30:07;70.0;59;29.306;29.306;52.9;95;181;0.22;1.12;12.53;19.08;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;7.0;11.3;0;NA;5;868M;GW1000_Pro
2020-06-05+18:45:23;69.8;59;29.309;29.309;52.9;95;180;0.00;0.00;12.53;2.94;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;9.0;11.1;0;NA;5;868M;GW1000_Pro
2020-06-05+19:00:38;69.8;60;29.320;29.320;52.7;95;147;1.34;3.36;12.53;1.22;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;11.0;10.7;0;NA;5;868M;GW1000_Pro
2020-06-05+19:15:53;70.0;59;29.326;29.326;52.5;95;154;0.89;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;10.0;10.4;0;NA;5;868M;GW1000_Pro
2020-06-05+19:30:08;70.2;59;29.329;29.329;52.2;94;144;1.12;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;10.0;10.1;0;NA;5;868M;GW1000_Pro
2020-06-05+19:45:24;70.0;58;29.335;29.335;51.6;94;149;0.22;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;9.0;9.8;0;NA;5;868M;GW1000_Pro
2020-06-05+20:00:39;69.8;58;29.332;29.332;51.1;95;166;0.00;0.00;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;12.0;9.6;0;NA;5;868M;GW1000_Pro
2020-06-05+20:15:54;69.8;58;29.326;29.326;50.9;95;178;0.45;1.12;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;17.0;9.6;0;NA;5;868M;GW1000_Pro
2020-06-05+20:30:08;69.8;58;29.329;29.329;50.7;96;151;1.12;1.12;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;12.0;9.5;0;NA;5;868M;GW1000_Pro
2020-06-05+20:45:23;69.8;58;29.320;29.320;50.7;96;159;0.00;1.12;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;13.0;9.5;0;NA;5;868M;GW1000_Pro
2020-06-05+21:00:38;70.0;58;29.326;29.326;50.7;96;176;1.12;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;12.0;9.4;0;NA;5;868M;GW1000_Pro
2020-06-05+21:15:53;69.6;58;29.323;29.323;50.7;96;142;0.00;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;12.0;9.4;0;NA;5;868M;GW1000_Pro
2020-06-05+21:30:07;69.8;58;29.332;29.332;51.1;95;147;1.34;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;10.0;9.3;0;NA;5;868M;GW1000_Pro
2020-06-05+21:45:22;69.4;58;29.317;29.317;51.4;95;194;0.67;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;11.0;9.2;0;NA;5;868M;GW1000_Pro
2020-06-05+22:00:37;69.4;58;29.320;29.320;51.3;95;220;0.00;1.12;1.12;0.00;0;0.000;0.921;0.000;0.000;1.020;1.020;6.610;6.610;NA;NA;10.0;9.2;0;NA;5;868M;GW1000_Pro
2020-06-05+22:15:52;69.3;58;29.332;29.332;51.3;95;195;0.45;1.12;2.24;0.00;0;0.000;0.921;0.000;0.000;1.020;1.020;6.610;6.610;NA;NA;10.0;9.2;0;NA;5;868M;GW1000_Pro
2020-06-05+22:30:06;69.3;58;29.329;29.329;51.1;96;154;0.22;1.12;2.24;0.00;0;0.000;0.921;0.000;0.000;1.020;1.020;6.610;6.610;NA;NA;10.0;9.2;0;NA;5;868M;GW1000_Pro
2020-06-05+22:45:21;69.1;58;29.323;29.323;51.4;96;356;0.00;1.12;4.47;0.00;0;0.000;0.921;0.000;0.000;1.020;1.020;6.610;6.610;NA;NA;16.0;9.3;0;NA;5;868M;GW1000_Pro
2020-06-05+23:00:36;69.3;58;29.323;29.323;51.8;96;148;1.12;3.36;4.47;0.00;0;0.071;0.933;0.012;0.012;1.031;1.031;6.622;6.622;NA;NA;13.0;9.6;0;NA;5;868M;GW1000_Pro
2020-06-05+23:15:53;69.1;58;29.317;29.317;52.2;96;28;0.22;2.24;4.47;0.00;0;0.000;0.933;0.012;0.012;1.031;1.031;6.622;6.622;NA;NA;16.0;9.7;0;NA;5;868M;GW1000_Pro
2020-06-05+23:30:07;69.3;59;29.323;29.323;52.3;96;80;0.00;3.36;4.47;0.00;0;0.000;0.933;0.012;0.012;1.031;1.031;6.622;6.622;NA;NA;15.0;10.0;0;NA;5;868M;GW1000_Pro
2020-06-05+23:45:22;69.3;59;29.314;29.314;52.5;96;106;0.89;2.24;4.47;0.00;0;0.000;0.933;0.012;0.012;1.031;1.031;6.622;6.622;NA;NA;17.0;10.2;0;NA;5;868M;GW1000_Pro
2020-06-06+00:00:37;69.1;60;29.311;29.311;52.3;96;34;0.00;0.00;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;17.0;10.6;0;NA;5;868M;GW1000_Pro
2020-06-06+00:15:52;69.1;60;29.314;29.314;52.0;96;175;0.00;0.00;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;17.0;10.8;0;NA;5;868M;GW1000_Pro
2020-06-06+00:30:06;68.9;59;29.311;29.311;51.8;96;134;0.00;0.00;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;19.0;11.2;0;NA;5;868M;GW1000_Pro
2020-06-06+00:45:21;69.1;59;29.306;29.306;51.8;97;82;0.00;1.12;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;20.0;11.6;0;NA;5;868M;GW1000_Pro
2020-06-06+01:00:40;68.9;60;29.306;29.306;52.0;97;172;1.57;3.36;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;22.0;12.2;0;NA;5;868M;GW1000_Pro
2020-06-06+01:15:55;69.3;60;29.291;29.291;52.3;96;121;2.68;6.93;9.17;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;12.6;0;NA;5;868M;GW1000_Pro
2020-06-06+01:30:09;68.9;60;29.288;29.288;52.7;95;92;1.79;5.82;9.17;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;22.0;12.9;0;NA;5;868M;GW1000_Pro
2020-06-06+01:45:24;68.9;60;29.282;29.282;52.7;95;46;0.67;3.36;9.17;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;13.1;0;NA;5;868M;GW1000_Pro
2020-06-06+02:00:39;68.7;59;29.285;29.285;52.9;94;166;1.79;5.82;9.17;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;13.8;0;NA;5;868M;GW1000_Pro
2020-06-06+02:15:54;68.9;59;29.285;29.285;52.5;95;61;0.22;2.24;9.17;2.08;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;24.0;14.1;0;NA;5;868M;GW1000_Pro
2020-06-06+02:30:08;68.5;59;29.285;29.285;52.7;95;75;0.89;3.36;9.17;6.85;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;25.0;14.8;0;NA;5;868M;GW1000_Pro
2020-06-06+02:45:23;68.4;59;29.279;29.279;53.4;93;75;2.46;5.82;9.17;12.11;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;15.3;0;NA;5;868M;GW1000_Pro
2020-06-06+03:00:38;68.5;59;29.297;29.297;53.6;92;242;0.45;8.05;10.29;8.56;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;15.8;0;NA;5;868M;GW1000_Pro
2020-06-06+03:15:53;68.7;59;29.291;29.291;53.4;92;262;1.57;4.47;10.29;10.77;0;0.071;0.953;0.020;0.031;1.051;1.051;6.642;6.642;NA;NA;20.0;16.0;0;NA;5;868M;GW1000_Pro
2020-06-06+03:30:07;68.4;59;29.300;29.300;53.2;92;121;5.82;6.93;10.29;14.68;0;0.000;0.953;0.020;0.031;1.051;1.051;6.642;6.642;NA;NA;17.0;16.3;0;NA;5;868M;GW1000_Pro
2020-06-06+03:45:22;68.4;59;29.306;29.306;53.2;92;72;4.92;6.93;10.29;15.17;0;0.000;0.953;0.020;0.031;1.051;1.051;6.642;6.642;NA;NA;14.0;16.4;0;NA;5;868M;GW1000_Pro
2020-06-06+04:00:37;68.4;59;29.306;29.306;53.6;90;122;4.47;6.93;11.41;68.51;0;0.000;0.953;0.020;0.031;1.051;1.051;6.642;6.642;NA;NA;15.0;16.6;0;NA;5;868M;GW1000_Pro
2020-06-06+04:15:52;68.2;59;29.311;29.311;54.1;89;207;1.34;5.82;11.41;83.19;0;0.000;0.953;0.000;0.031;1.051;1.051;6.642;6.642;NA;NA;14.0;16.7;0;NA;5;868M;GW1000_Pro
2020-06-06+04:30:06;68.5;59;29.317;29.317;54.1;87;131;2.24;12.53;12.53;172.12;1;0.000;0.953;0.000;0.031;1.051;1.051;6.642;6.642;NA;NA;10.0;16.6;0;NA;5;868M;GW1000_Pro
2020-06-06+04:45:21;68.4;59;29.320;29.320;54.1;84;309;3.80;9.17;17.22;206.87;2;0.047;0.961;0.008;0.039;1.059;1.059;6.650;6.650;NA;NA;14.0;16.6;0;NA;5;868M;GW1000_Pro
2020-06-06+05:00:36;68.4;58;29.320;29.320;54.1;81;124;13.42;19.46;19.46;255.44;2;0.000;0.961;0.008;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;16.4;0;NA;5;868M;GW1000_Pro
2020-06-06+05:15:51;68.7;58;29.326;29.326;54.9;79;108;5.37;8.05;19.46;303.64;2;0.000;0.961;0.008;0.039;1.059;1.059;6.650;6.650;NA;NA;8.0;16.3;0;NA;5;868M;GW1000_Pro
2020-06-06+05:30:05;68.9;59;29.338;29.338;55.0;80;124;6.49;9.17;19.46;149.61;1;0.000;0.961;0.008;0.039;1.059;1.059;6.650;6.650;NA;NA;11.0;16.2;0;NA;5;868M;GW1000_Pro
2020-06-06+05:45:20;68.7;59;29.359;29.359;53.4;80;129;7.38;13.65;19.46;123.19;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;16.1;0;NA;5;868M;GW1000_Pro
2020-06-06+06:00:35;68.7;58;29.362;29.362;54.9;76;144;5.37;10.29;19.46;403.34;3;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;8.0;15.9;0;NA;5;868M;GW1000_Pro
2020-06-06+06:15:50;68.9;58;29.368;29.368;55.4;74;234;6.71;11.41;20.58;478.45;4;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;15.8;0;NA;5;868M;GW1000_Pro
2020-06-06+06:30:04;68.9;57;29.365;29.365;55.4;68;123;6.26;15.88;20.58;443.35;4;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;15.6;0;NA;5;868M;GW1000_Pro
2020-06-06+06:45:19;69.1;56;29.376;29.376;55.8;65;165;7.38;12.53;21.70;515.77;5;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;15.4;0;NA;5;868M;GW1000_Pro
2020-06-06+07:00:34;69.1;55;29.385;29.385;56.1;61;185;4.92;11.41;21.70;550.88;5;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;15.1;0;NA;5;868M;GW1000_Pro
2020-06-06+07:15:49;69.1;54;29.400;29.400;57.2;59;193;7.83;11.41;21.70;529.59;5;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;15.0;0;NA;5;868M;GW1000_Pro
2020-06-06+07:30:03;69.1;53;29.409;29.409;57.2;59;164;6.49;12.53;21.70;631.13;6;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;14.6;0;NA;5;868M;GW1000_Pro
2020-06-06+07:45:18;69.4;53;29.412;29.412;58.1;57;163;5.14;13.65;21.70;652.79;6;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;6.0;14.3;0;NA;5;868M;GW1000_Pro
2020-06-06+08:00:33;69.4;52;29.424;29.424;57.4;57;152;8.05;10.29;21.70;674.56;6;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;6.0;13.9;0;NA;5;868M;GW1000_Pro
2020-06-06+08:15:48;69.4;52;29.427;29.427;57.2;59;177;6.71;11.41;21.70;386.09;3;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;13.6;0;NA;5;868M;GW1000_Pro
2020-06-06+08:30:02;69.6;52;29.430;29.430;57.7;57;157;7.61;13.65;21.70;552.59;5;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;13.2;0;NA;5;868M;GW1000_Pro
2020-06-06+08:45:17;69.8;51;29.435;29.435;58.6;55;152;6.93;14.76;21.70;750.90;7;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;13.0;0;NA;5;868M;GW1000_Pro
2020-06-06+09:00:32;70.0;51;29.444;29.444;58.8;55;193;8.95;11.41;21.70;795.55;7;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;12.7;0;NA;5;868M;GW1000_Pro
2020-06-06+09:15:47;70.2;50;29.450;29.450;60.1;53;129;7.16;11.41;21.70;916.54;8;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;12.3;0;NA;5;868M;GW1000_Pro
2020-06-06+09:30:01;70.3;50;29.456;29.456;59.9;52;124;8.72;12.53;21.70;661.10;6;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;11.7;0;NA;5;868M;GW1000_Pro
2020-06-06+09:45:16;70.5;48;29.459;29.459;60.8;48;215;8.95;14.76;21.70;246.39;2;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;11.2;0;NA;5;868M;GW1000_Pro
2020-06-06+10:00:31;70.2;49;29.477;29.477;59.7;51;200;8.05;14.76;21.70;263.27;2;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;10.5;0;NA;5;868M;GW1000_Pro
2020-06-06+10:15:46;70.3;49;29.471;29.471;60.4;50;95;5.82;13.65;21.70;181.30;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;10.1;0;NA;5;868M;GW1000_Pro
2020-06-06+10:30:00;70.2;50;29.483;29.483;59.9;50;77;2.24;20.58;21.70;1051.11;10;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;9.4;0;NA;5;868M;GW1000_Pro
2020-06-06+10:45:15;70.2;50;29.495;29.495;60.4;51;190;7.83;17.22;21.70;255.44;2;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;8.9;0;NA;5;868M;GW1000_Pro
2020-06-06+11:00:30;70.2;50;29.495;29.495;60.3;52;248;3.13;8.05;21.70;413.37;4;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;6.0;8.2;0;NA;5;868M;GW1000_Pro
2020-06-06+11:15:45;70.0;50;29.495;29.495;60.8;48;96;3.80;22.82;22.82;458.88;4;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;7.9;0;NA;5;868M;GW1000_Pro
2020-06-06+11:29:59;70.2;48;29.497;29.497;62.1;47;107;5.14;12.53;22.82;881.92;8;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;7.3;0;NA;5;868M;GW1000_Pro
2020-06-06+11:45:14;70.2;47;29.503;29.503;63.7;46;91;6.04;10.29;22.82;221.18;2;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;7.0;0;NA;5;868M;GW1000_Pro
2020-06-06+12:00:29;69.8;48;29.503;29.503;62.4;47;115;5.37;8.05;22.82;312.32;3;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;6.7;0;NA;5;868M;GW1000_Pro
2020-06-06+12:15:44;70.0;49;29.506;29.506;61.7;47;64;5.37;9.17;22.82;354.78;3;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;13.0;6.7;0;NA;5;868M;GW1000_Pro
2020-06-06+12:29:58;70.3;53;29.509;29.509;62.4;48;126;4.03;9.17;22.82;286.63;2;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;6.4;0;NA;5;868M;GW1000_Pro
2020-06-06+12:45:13;70.0;49;29.515;29.515;61.5;49;211;5.14;18.34;22.82;265.47;2;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;6.0;6.2;0;NA;5;868M;GW1000_Pro
2020-06-06+13:00:31;70.3;48;29.515;29.515;64.0;47;143;6.04;14.76;22.82;674.07;6;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;5.9;0;NA;5;868M;GW1000_Pro
2020-06-06+13:15:44;70.2;49;29.512;29.512;61.9;50;186;4.47;8.05;22.82;223.75;2;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;5.9;0;NA;5;868M;GW1000_Pro
2020-06-06+13:29:58;70.3;49;29.506;29.506;63.7;46;189;4.47;13.65;22.82;638.11;6;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;6.0;5.8;0;NA;5;868M;GW1000_Pro
2020-06-06+13:45:13;70.2;49;29.518;29.518;63.0;47;190;5.37;12.53;22.82;591.62;5;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;4.0;5.7;0;NA;5;868M;GW1000_Pro
2020-06-06+14:00:28;70.2;49;29.518;29.518;63.5;47;123;5.14;13.65;22.82;123.19;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;5.7;0;NA;5;868M;GW1000_Pro
2020-06-06+14:15:43;70.2;49;29.512;29.512;64.0;47;83;11.41;14.76;22.82;566.05;5;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;6.0;5.6;0;NA;5;868M;GW1000_Pro
2020-06-06+14:29:57;70.2;50;29.521;29.521;63.5;47;128;4.47;6.93;22.82;612.53;5;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;5.6;0;NA;5;868M;GW1000_Pro
2020-06-06+14:45:12;70.3;50;29.518;29.518;64.6;47;190;4.92;12.53;22.82;562.62;5;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;5.7;0;NA;5;868M;GW1000_Pro
2020-06-06+15:00:27;70.2;49;29.521;29.521;63.5;48;85;6.93;11.41;22.82;278.93;2;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;5.7;0;NA;5;868M;GW1000_Pro
2020-06-06+15:15:42;70.2;49;29.527;29.527;64.2;46;105;4.03;8.05;22.82;129.68;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;5.7;0;NA;5;868M;GW1000_Pro
2020-06-06+15:45:11;70.2;49;29.536;29.536;64.2;47;158;6.04;9.17;22.82;192.56;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;6.0;5.7;0;NA;5;868M;GW1000_Pro
2020-06-06+16:00:26;70.2;48;29.530;29.530;63.7;49;43;4.47;6.93;22.82;131.39;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;9.0;5.8;0;NA;5;868M;GW1000_Pro
2020-06-06+16:15:41;70.0;48;29.536;29.536;63.9;48;94;7.61;10.29;22.82;172.98;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;5.8;0;NA;5;868M;GW1000_Pro
2020-06-06+16:30:56;69.8;48;29.545;29.545;63.7;47;197;0.89;5.82;22.82;253.73;2;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;5.9;0;NA;5;868M;GW1000_Pro
2020-06-06+16:45:10;70.2;50;29.545;29.545;63.3;48;168;4.92;8.05;22.82;108.88;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;5.9;0;NA;5;868M;GW1000_Pro
2020-06-06+17:00:25;70.5;51;29.554;29.554;64.0;47;100;4.47;8.05;22.82;154.39;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;6.0;5.9;0;NA;5;868M;GW1000_Pro
2020-06-06+17:15:40;70.5;50;29.554;29.554;63.9;48;133;2.68;6.93;22.82;114.51;1;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;6.0;5.9;0;NA;5;868M;GW1000_Pro
2020-06-06+17:30:55;70.3;50;29.551;29.551;64.2;48;218;2.68;4.47;22.82;66.80;0;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;5.9;0;NA;5;868M;GW1000_Pro
2020-06-06+17:45:09;70.3;52;29.554;29.554;63.7;49;71;0.22;4.47;22.82;53.70;0;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;8.0;6.0;0;NA;5;868M;GW1000_Pro
2020-06-06+18:00:24;70.2;49;29.560;29.560;64.0;48;128;0.89;1.12;22.82;42.94;0;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;6.1;0;NA;5;868M;GW1000_Pro
2020-06-06+18:15:39;70.0;50;29.571;29.571;62.8;50;147;1.34;2.24;22.82;31.56;0;0.000;0.961;0.000;0.039;1.059;1.059;6.650;6.650;NA;NA;5.0;6.1;0;NA;5;868M;GW1000_Pro
